user,listened,total,percentage,hits,status
Dreamers_1225,167,306,54.57516339869281,35,ok
mikato8634,167,306,54.57516339869281,30,ok
fzj,166,306,54.248366013071895,45,ok
Straylight_00,166,306,54.248366013071895,40,ok
munoourevival,166,306,54.248366013071895,30,ok
bujiabao028,166,306,54.248366013071895,27,ok
tantakatan17,166,306,54.248366013071895,27,ok
masao,165,306,53.92156862745098,63,ok
ClariSdaisuki,165,306,53.92156862745098,53,ok
Minna_suki,165,306,53.92156862745098,46,ok
yuuuuuuuri_0225,165,306,53.92156862745098,41,ok
pagu9689,165,306,53.92156862745098,40,ok
solt_0000,165,306,53.92156862745098,39,ok
flying_Bonito,165,306,53.92156862745098,36,ok
hepl0122,165,306,53.92156862745098,20,ok
moshelly_ttt,164,306,53.59477124183007,64,ok
tak178mat,164,306,53.59477124183007,63,ok
OwenT,164,306,53.59477124183007,52,ok
suzuk4ze_,164,306,53.59477124183007,44,ok
Lyiel,164,306,53.59477124183007,36,ok
domino_856,164,306,53.59477124183007,35,ok
aim120a,164,306,53.59477124183007,31,ok
JanWang,164,306,53.59477124183007,25,ok
yokan,164,306,53.59477124183007,25,ok
blood3821,163,306,53.26797385620915,52,ok
haruhito_99,163,306,53.26797385620915,48,ok
aoixvi,163,306,53.26797385620915,47,ok
c_p_d_eulb,163,306,53.26797385620915,37,ok
WickedLaser505,163,306,53.26797385620915,34,ok
B77889999,163,306,53.26797385620915,30,ok
karamisaurus,163,306,53.26797385620915,23,ok
yu_jin1145,163,306,53.26797385620915,23,ok
occhan_garupa,162,306,52.94117647058824,56,ok
s4k4k,162,306,52.94117647058824,50,ok
Panda_Paste,162,306,52.94117647058824,39,ok
kain_the_shine,162,306,52.94117647058824,38,ok
futosuto,162,306,52.94117647058824,30,ok
Admiral_Nagumo,162,306,52.94117647058824,28,ok
yuri_lilly72,162,306,52.94117647058824,28,ok
chonpskcamg,162,306,52.94117647058824,24,ok
deathtrowa,162,306,52.94117647058824,23,ok
wedison,162,306,52.94117647058824,21,ok
Zz3h_,162,306,52.94117647058824,19,ok
rinrin_anthem26,161,306,52.614379084967325,72,ok
Jack_R_00,161,306,52.614379084967325,65,ok
fhiroluna,161,306,52.614379084967325,44,ok
yusana_itto,161,306,52.614379084967325,40,ok
Syuka0819,161,306,52.614379084967325,38,ok
capilanohs,161,306,52.614379084967325,25,ok
XavierRiceKevin,161,306,52.614379084967325,25,ok
liangericrenxin0319,161,306,52.614379084967325,24,ok
Simpleis,161,306,52.614379084967325,23,ok
a4pa4p,161,306,52.614379084967325,22,ok
aika_tie,161,306,52.614379084967325,21,ok
mou_att,160,306,52.28758169934641,55,ok
kappumen12,160,306,52.28758169934641,54,ok
joeeee2480,160,306,52.28758169934641,53,ok
mrskotake,160,306,52.28758169934641,50,ok
t_nami73,160,306,52.28758169934641,49,ok
mee801_S,160,306,52.28758169934641,29,ok
zzy4987,160,306,52.28758169934641,29,ok
Arno912,160,306,52.28758169934641,21,ok
gans_09,159,306,51.9607843137255,55,ok
sugapuredd,159,306,51.9607843137255,52,ok
anime_ok17,159,306,51.9607843137255,40,ok
j_jirou,159,306,51.9607843137255,38,ok
washio_yuna,159,306,51.9607843137255,38,ok
ramenn114514,159,306,51.9607843137255,36,ok
Chad,159,306,51.9607843137255,31,ok
Paper36,159,306,51.9607843137255,26,ok
Setsuna_LLENN,159,306,51.9607843137255,25,ok
wataru.yamato,159,306,51.9607843137255,24,ok
kim_jong_un,159,306,51.9607843137255,23,ok
starlight,159,306,51.9607843137255,17,ok
honnhu12345,158,306,51.633986928104584,74,ok
chikuo25,158,306,51.633986928104584,72,ok
hkl0502,158,306,51.633986928104584,54,ok
mazin001,158,306,51.633986928104584,52,ok
yamajin4,158,306,51.633986928104584,46,ok
RK,158,306,51.633986928104584,45,ok
Cakey,158,306,51.633986928104584,37,ok
muno,158,306,51.633986928104584,33,ok
m1n4to,158,306,51.633986928104584,24,ok
Koyo,158,306,51.633986928104584,18,ok
Shang_hai_mura,157,306,51.307189542483655,54,ok
XiaoZ,157,306,51.307189542483655,43,ok
re_yuichi13,157,306,51.307189542483655,41,ok
rt6954,157,306,51.307189542483655,40,ok
KahoJacky,157,306,51.307189542483655,37,ok
chateau5588,157,306,51.307189542483655,36,ok
ac7a_2,157,306,51.307189542483655,33,ok
semyon_uri29,157,306,51.307189542483655,30,ok
cool0crow,157,306,51.307189542483655,26,ok
lgdxuezha,157,306,51.307189542483655,13,ok
hisagi,156,306,50.98039215686274,50,ok
jsjfs005,156,306,50.98039215686274,48,ok
yujiionm,156,306,50.98039215686274,48,ok
kuroyaba,156,306,50.98039215686274,47,ok
bitcoin,156,306,50.98039215686274,27,ok
huya,156,306,50.98039215686274,23,ok
Ari27_ppon,156,306,50.98039215686274,18,ok
yagi_yui,155,306,50.65359477124183,78,ok
otousannokodomo,155,306,50.65359477124183,46,ok
Pokonyan,155,306,50.65359477124183,39,ok
kanzaki007p,155,306,50.65359477124183,35,ok
einheil,155,306,50.65359477124183,32,ok
ogrism_3417,155,306,50.65359477124183,29,ok
smallsmallso1999,155,306,50.65359477124183,29,ok
sanagi01,155,306,50.65359477124183,26,ok
Kitanam0816,155,306,50.65359477124183,23,ok
ongr_hmds_,155,306,50.65359477124183,21,ok
camera,155,306,50.65359477124183,16,ok
ene_rocket,154,306,50.326797385620914,64,ok
kurata_305,154,306,50.326797385620914,55,ok
aa68nri,154,306,50.326797385620914,47,ok
alice_mbe_p,154,306,50.326797385620914,41,ok
yodo_P_yayoi,154,306,50.326797385620914,41,ok
yositune_game,154,306,50.326797385620914,41,ok
kakeru_otaku,154,306,50.326797385620914,35,ok
SujaP,154,306,50.326797385620914,35,ok
terutsuki39,154,306,50.326797385620914,34,ok
e6866851,154,306,50.326797385620914,28,ok
Chihaya,154,306,50.326797385620914,24,ok
mooham,153,306,50.0,60,ok
makimura_123,153,306,50.0,58,ok
saitou1038,153,306,50.0,51,ok
canshi,153,306,50.0,50,ok
wdw,153,306,50.0,17,ok
yammer1492,152,306,49.673202614379086,54,ok
TB91_KZ,152,306,49.673202614379086,29,ok
harmonialeo,152,306,49.673202614379086,24,ok
TonariJ,152,306,49.673202614379086,21,ok
yatama,152,306,49.673202614379086,20,ok
Ari27_popo,152,306,49.673202614379086,17,ok
quartus145,152,306,49.673202614379086,17,ok
aa,151,306,49.34640522875817,58,ok
m_sakurakage,151,306,49.34640522875817,57,ok
bajyura7,151,306,49.34640522875817,44,ok
13tonton17,151,306,49.34640522875817,43,ok
Utamaru_anime,151,306,49.34640522875817,37,ok
Qingdaobanana,151,306,49.34640522875817,36,ok
ccweiwei,151,306,49.34640522875817,34,ok
shin0424,151,306,49.34640522875817,34,ok
Mozalic,151,306,49.34640522875817,33,ok
zwqGn0GLwk0E2Z7,151,306,49.34640522875817,26,ok
yuri_ohsaka,151,306,49.34640522875817,23,ok
hibiki_lv,151,306,49.34640522875817,22,ok
tori_555,150,306,49.01960784313725,55,ok
hgskt0928,150,306,49.01960784313725,37,ok
mrts430,150,306,49.01960784313725,32,ok
mekong,150,306,49.01960784313725,31,ok
kosetaki,150,306,49.01960784313725,28,ok
eddiemyst,150,306,49.01960784313725,27,ok
bw0612,150,306,49.01960784313725,26,ok
shtiga,150,306,49.01960784313725,25,ok
qianqianz156,150,306,49.01960784313725,20,ok
sgtfuzzy92,150,306,49.01960784313725,20,ok
at314,150,306,49.01960784313725,19,ok
qwer61583,150,306,49.01960784313725,19,ok
liyucheng0825,150,306,49.01960784313725,18,ok
kzsk_urara,149,306,48.69281045751634,92,ok
YukiOcO,149,306,48.69281045751634,51,ok
hogeokun,149,306,48.69281045751634,46,ok
mtmrrni,149,306,48.69281045751634,45,ok
tkm7s,149,306,48.69281045751634,32,ok
Bruce,149,306,48.69281045751634,30,ok
wataraiger,149,306,48.69281045751634,23,ok
Yuanyuan83,149,306,48.69281045751634,21,ok
cleftobsidian,149,306,48.69281045751634,20,ok
Thyras_T,149,306,48.69281045751634,20,ok
Tokui0306,149,306,48.69281045751634,18,ok
kue,149,306,48.69281045751634,17,ok
mei_RiCCa,149,306,48.69281045751634,17,ok
r_baiccio,149,306,48.69281045751634,16,ok
yuki6_15,148,306,48.36601307189542,76,ok
Kyma113,148,306,48.36601307189542,53,ok
AllmostDead_ism,148,306,48.36601307189542,40,ok
sironess1866,148,306,48.36601307189542,31,ok
Copper_Nickel,148,306,48.36601307189542,27,ok
Mag33699,148,306,48.36601307189542,23,ok
REIRION1228,148,306,48.36601307189542,21,ok
rellic,148,306,48.36601307189542,19,ok
yuki9800,148,306,48.36601307189542,16,ok
aDfc5MgWaF6uTFx,147,306,48.03921568627451,51,ok
maxi_5656,147,306,48.03921568627451,47,ok
seisynbiginner,147,306,48.03921568627451,46,ok
nekomimilky,147,306,48.03921568627451,39,ok
